,G,Date,Unnamed: 2,Team,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
316,2,2023-11-10,,St. Joseph's,Penn,W,69,61,24,60,.400,7,25,.280,14,18,.778,6,30,17,7,2,9,13,,23,62,.371,9,24,.375,6,11,.545,9,35,13,5,5,16,17
317,3,2023-11-14,,St. Joseph's,Stonehill,W,100,56,39,66,.591,15,36,.417,7,9,.778,7,43,26,6,9,14,17,,17,62,.274,7,31,.226,15,20,.750,5,20,8,7,2,15,13
318,4,2023-11-17,,St. Joseph's,Texas A&M-Commerce,L,54,57,18,66,.273,6,30,.200,12,16,.750,14,42,7,7,3,11,18,,21,58,.362,7,26,.269,8,17,.471,8,37,11,8,6,12,17
319,5,2023-11-20,@,St. Joseph's,Kentucky,L (1 OT),88,96,32,75,.427,15,37,.405,9,12,.750,12,39,20,5,3,14,21,,33,64,.516,12,25,.480,18,27,.667,5,32,24,12,8,9,10
320,6,2023-11-26,,St. Joseph's,Sacred Heart,W,64,55,23,52,.442,11,33,.333,7,13,.538,4,32,17,10,4,20,16,,19,55,.345,4,20,.200,13,22,.591,7,30,8,17,3,18,11
321,7,2023-11-29,@,St. Joseph's,Villanova,W,78,65,29,51,.569,14,27,.519,6,10,.600,5,25,19,9,3,9,15,,22,56,.393,10,37,.270,11,14,.786,10,27,15,5,2,16,16
322,8,2023-12-02,N,St. Joseph's,Temple,W,74,65,24,52,.462,8,21,.381,18,20,.900,6,37,16,7,5,12,13,,23,65,.354,7,26,.269,12,20,.600,12,33,13,9,5,9,14
323,9,2023-12-06,,St. Joseph's,American,W,69,53,26,55,.473,12,31,.387,5,6,.833,11,35,14,3,2,9,13,,19,51,.373,3,24,.125,12,17,.706,11,22,8,5,2,7,10
324,10,2023-12-10,,St. Joseph's,Princeton,W,74,70,27,59,.458,7,26,.269,13,16,.813,11,28,9,8,5,8,11,,26,55,.473,16,38,.421,2,6,.333,10,27,13,1,1,12,16
325,11,2023-12-16,N,St. Joseph's,Iona,W,83,58,26,50,.520,15,30,.500,16,24,.667,8,38,15,5,3,16,18,,18,65,.277,7,30,.233,15,23,.652,16,33,13,13,1,8,17
326,12,2023-12-21,@,St. Joseph's,College of Charleston,L,82,89,29,71,.408,11,33,.333,13,16,.813,8,33,15,7,3,10,20,,28,65,.431,13,36,.361,20,24,.833,12,42,17,5,7,14,15
327,13,2023-12-29,,St. Joseph's,Loyola (MD),W,97,56,33,69,.478,15,36,.417,16,19,.842,11,38,20,12,4,7,16,,21,62,.339,7,28,.250,7,15,.467,14,35,9,2,2,17,14
328,14,2024-01-03,@,St. Joseph's,Rhode Island,L,74,78,25,63,.397,8,30,.267,16,26,.615,12,38,12,8,3,11,25,,25,61,.410,6,25,.240,22,35,.629,11,38,18,7,4,9,20
329,15,2024-01-10,@,St. Joseph's,Saint Louis,L,85,88,25,66,.379,12,35,.343,23,28,.821,12,33,13,5,5,5,17,,26,56,.464,14,26,.538,22,27,.815,8,30,16,3,6,7,19
330,16,2024-01-13,,St. Joseph's,Loyola (IL),L,75,78,24,57,.421,9,25,.360,18,24,.750,5,27,12,10,4,11,16,,28,64,.438,10,27,.370,12,20,.600,9,34,13,7,4,16,23
331,17,2024-01-15,,St. Joseph's,La Salle,W,82,62,29,57,.509,9,23,.391,15,18,.833,13,44,16,2,3,8,11,,22,61,.361,8,32,.250,10,12,.833,4,21,12,4,0,2,14
332,18,2024-01-20,,St. Joseph's,Duquesne,W,71,69,26,55,.473,7,17,.412,12,19,.632,8,31,11,7,3,10,16,,24,58,.414,9,24,.375,12,14,.857,8,31,10,6,5,11,18
333,19,2024-01-23,@,St. Joseph's,UMass,W,78,77,29,61,.475,9,19,.474,11,17,.647,7,33,14,11,6,13,15,,29,65,.446,5,16,.313,14,17,.824,10,38,19,9,4,17,16
334,20,2024-01-26,@,St. Joseph's,St. Bonaventure,L,72,91,30,58,.517,10,24,.417,2,2,1.000,8,28,16,4,2,15,8,,36,62,.581,12,27,.444,7,8,.875,6,24,23,11,6,6,7
335,,,,St. Joseph's,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
336,G,Date,,St. Joseph's,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
337,21,2024-01-31,,St. Joseph's,George Mason,W,75,73,28,55,.509,8,22,.364,11,17,.647,8,32,12,8,7,11,11,,28,61,.459,10,27,.370,7,11,.636,4,25,16,6,1,9,13
338,22,2024-02-03,@,St. Joseph's,La Salle,W,88,82,26,55,.473,10,21,.476,26,33,.788,10,38,11,3,3,12,14,,28,69,.406,14,34,.412,12,17,.706,11,32,18,9,5,6,22
339,23,2024-02-06,,St. Joseph's,Dayton,L,79,94,31,64,.484,13,37,.351,4,8,.500,8,25,15,6,3,12,17,,33,58,.569,12,22,.545,16,22,.727,8,28,19,4,3,12,13
340,24,2024-02-10,,St. Joseph's,Saint Louis,W,87,86,29,66,.439,11,31,.355,18,25,.720,7,27,14,11,3,9,18,,28,57,.491,11,26,.423,19,22,.864,7,38,8,7,6,21,24
341,25,2024-02-14,@,St. Joseph's,Loyola (IL),L,59,64,19,58,.328,7,29,.241,14,15,.933,7,23,9,7,8,8,17,,22,52,.423,7,20,.350,13,16,.813,9,36,19,6,5,14,18
342,26,2024-02-17,@,St. Joseph's,Duquesne,L,56,66,18,56,.321,9,37,.243,11,17,.647,12,34,12,12,4,12,15,,23,52,.442,9,18,.500,11,13,.846,9,36,16,7,5,16,14
343,27,2024-02-21,,St. Joseph's,George Washington,W,79,75,25,53,.472,9,22,.409,20,27,.741,8,32,16,4,4,5,10,,26,57,.456,12,27,.444,11,13,.846,4,23,13,3,4,7,21
344,28,2024-02-25,@,St. Joseph's,VCU,L,69,73,22,56,.393,12,29,.414,13,19,.684,7,30,11,5,4,9,17,,24,55,.436,8,22,.364,17,19,.895,9,37,19,5,2,9,16
345,29,2024-03-02,,St. Joseph's,Fordham,W,82,69,30,65,.462,7,28,.250,15,21,.714,9,31,21,10,4,8,17,,25,61,.410,7,24,.292,12,19,.632,15,38,8,5,2,16,21
346,30,2024-03-06,@,St. Joseph's,Richmond,L,66,73,25,61,.410,9,30,.300,7,13,.538,8,32,8,6,6,13,19,,26,56,.464,3,9,.333,18,22,.818,5,31,11,6,4,8,15
347,31,2024-03-09,,St. Joseph's,Davidson,W,89,71,28,59,.475,10,24,.417,23,31,.742,10,34,15,7,4,11,14,,27,67,.403,6,24,.250,11,12,.917,10,30,13,9,6,10,20
348,32,2024-03-13,N,St. Joseph's,George Mason,W,64,57,23,51,.451,10,27,.370,8,10,.800,5,25,14,6,4,8,12,,23,56,.411,1,13,.077,10,11,.909,8,29,8,5,6,8,13
349,33,2024-03-14,N,St. Joseph's,Richmond,W,66,61,23,55,.418,6,22,.273,14,18,.778,11,40,8,4,1,11,11,,24,56,.429,5,18,.278,8,11,.727,5,29,16,6,3,7,17
350,34,2024-03-16,N,St. Joseph's,VCU,L,60,66,24,55,.436,8,27,.296,4,7,.571,8,31,19,7,1,13,13,,29,57,.509,4,20,.200,4,8,.500,5,28,8,10,5,8,12
351,35,2024-03-20,@,St. Joseph's,Seton Hall,L (1 OT),72,75,30,69,.435,10,38,.263,2,3,.667,7,30,18,10,5,16,12,,27,65,.415,9,30,.300,12,14,.857,9,40,12,13,7,13,12
352,1,2023-11-06,,Saint Louis,Southern Indiana,W,75,63,24,66,.364,9,21,.429,18,28,.643,12,43,13,7,1,6,14,,27,65,.415,4,18,.222,5,8,.625,8,41,14,2,8,12,22
353,2,2023-11-08,,Saint Louis,Lincoln (MO),W,102,66,34,55,.618,9,18,.500,25,39,.641,4,34,13,15,5,12,22,,21,65,.323,8,25,.320,16,27,.593,14,38,9,5,2,19,25
354,3,2023-11-11,,Saint Louis,Illinois State,W,80,71,22,52,.423,6,21,.286,30,37,.811,3,29,8,6,3,9,19,,24,61,.393,9,29,.310,14,22,.636,9,38,9,3,1,15,27
355,4,2023-11-16,N,Saint Louis,Wyoming,W,79,69,27,57,.474,8,20,.400,17,22,.773,6,30,11,13,5,14,18,,25,71,.352,3,21,.143,16,17,.941,19,41,10,5,2,19,20
356,5,2023-11-17,N,Saint Louis,Vermont,L,68,78,23,55,.418,10,18,.556,12,19,.632,6,28,14,4,0,8,15,,29,52,.558,11,24,.458,9,14,.643,3,29,14,6,4,8,14
357,6,2023-11-19,N,Saint Louis,Wichita State,L,69,88,23,65,.354,8,29,.276,15,18,.833,5,29,14,5,5,8,16,,33,68,.485,7,22,.318,15,19,.789,7,43,11,5,2,10,15
358,7,2023-11-25,,Saint Louis,Dartmouth,W,66,65,23,60,.383,4,15,.267,16,21,.762,8,31,9,6,1,6,17,,23,53,.434,6,26,.231,13,17,.765,7,35,11,4,3,10,19
359,8,2023-11-28,,Saint Louis,Utah State,L,76,81,27,57,.474,10,24,.417,12,13,.923,4,20,16,7,0,10,11,,35,61,.574,6,23,.261,5,10,.500,12,33,20,5,7,12,12
360,9,2023-12-02,@,Saint Louis,Southern Illinois,L,62,101,22,51,.431,4,18,.222,14,24,.583,11,26,9,7,3,19,15,,37,56,.661,18,29,.621,9,14,.643,5,27,25,16,6,10,20
361,10,2023-12-06,@,Saint Louis,Drake,L,69,75,23,52,.442,5,14,.357,18,22,.818,8,31,6,8,2,14,22,,22,54,.407,8,24,.333,23,30,.767,8,29,15,7,4,10,16
362,11,2023-12-09,,Saint Louis,Hofstra,W,71,68,24,53,.453,13,29,.448,10,15,.667,8,28,14,5,2,12,13,,24,57,.421,7,25,.280,13,14,.929,6,28,9,5,2,11,17
363,12,2023-12-16,,Saint Louis,Louisiana Tech,W,75,74,27,50,.540,10,18,.556,11,15,.733,6,32,18,0,1,9,20,,24,59,.407,7,22,.318,19,27,.704,12,32,12,5,3,0,15
364,13,2023-12-20,@,Saint Louis,NC State,L,70,82,23,46,.500,1,12,.083,23,29,.793,7,33,10,3,3,15,22,,31,62,.500,9,25,.360,11,22,.500,10,26,13,6,1,6,19
365,14,2024-01-03,,Saint Louis,Loyola (IL),L,73,80,28,66,.424,9,26,.346,8,19,.421,14,38,10,6,3,14,16,,28,55,.509,10,23,.435,14,23,.609,5,29,16,12,5,9,22
366,15,2024-01-06,@,Saint Louis,George Mason,L,67,79,26,54,.481,7,20,.350,8,11,.727,6,28,11,3,4,16,26,,22,50,.440,8,22,.364,27,34,.794,8,23,7,6,2,5,13
367,16,2024-01-10,,Saint Louis,St. Joseph's,W,88,85,26,56,.464,14,26,.538,22,27,.815,8,30,16,3,6,7,19,,25,66,.379,12,35,.343,23,28,.821,12,33,13,5,5,5,17
368,17,2024-01-16,@,Saint Louis,Dayton,L,65,70,27,66,.409,8,23,.348,3,7,.429,10,36,15,5,2,10,19,,23,54,.426,8,28,.286,16,29,.552,11,40,12,6,6,8,11
369,18,2024-01-19,@,Saint Louis,VCU,L,61,85,20,56,.357,4,20,.200,17,18,.944,5,26,9,4,3,11,20,,27,54,.500,11,23,.478,20,25,.800,5,32,15,5,7,8,16
370,19,2024-01-24,,Saint Louis,Davidson,L,61,84,21,56,.375,4,26,.154,15,20,.750,7,36,10,3,0,12,15,,30,65,.462,10,29,.345,14,17,.824,7,36,14,9,1,3,15
371,20,2024-01-27,,Saint Louis,UMass,L,73,84,24,55,.436,11,25,.440,14,16,.875,5,24,16,5,1,12,19,,29,61,.475,7,22,.318,19,23,.826,11,35,13,8,5,6,14
372,,,,Saint Louis,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
373,G,Date,,Saint Louis,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
374,21,2024-01-30,@,Saint Louis,Loyola (IL),L,62,77,20,56,.357,2,14,.143,20,28,.714,7,29,9,6,6,12,23,,26,55,.473,9,23,.391,16,19,.842,4,30,19,5,8,13,22
375,22,2024-02-03,,Saint Louis,Fordham,L,65,67,25,53,.472,8,17,.471,7,13,.538,8,36,12,3,5,17,14,,25,66,.379,8,29,.276,9,11,.818,7,25,14,14,8,6,15
376,23,2024-02-07,@,Saint Louis,La Salle,W,102,84,36,64,.563,9,20,.450,21,25,.840,9,32,15,8,2,10,23,,26,66,.394,10,28,.357,22,29,.759,11,30,13,4,1,10,19
377,24,2024-02-10,@,Saint Louis,St. Joseph's,L,86,87,28,57,.491,11,26,.423,19,22,.864,7,38,8,7,6,21,24,,29,66,.439,11,31,.355,18,25,.720,7,27,14,11,3,9,18
378,25,2024-02-16,,Saint Louis,VCU,L,85,95,27,57,.474,8,23,.348,23,30,.767,7,22,14,10,3,10,23,,28,57,.491,12,26,.462,27,31,.871,12,35,13,5,4,14,21
379,26,2024-02-20,@,Saint Louis,Duquesne,L,66,81,24,58,.414,7,25,.280,11,15,.733,4,26,17,10,3,12,17,,28,55,.509,9,26,.346,16,19,.842,4,31,15,12,7,15,14
380,27,2024-02-24,,Saint Louis,George Washington,W,96,91,28,55,.509,13,26,.500,27,33,.818,6,30,17,5,3,7,16,,31,60,.517,11,29,.379,18,23,.783,6,30,12,4,4,10,24
381,28,2024-02-28,,Saint Louis,Richmond,L,64,80,23,61,.377,7,20,.350,11,14,.786,11,34,16,6,7,11,10,,31,60,.517,11,19,.579,7,9,.778,4,30,19,9,2,9,13
382,29,2024-03-02,@,Saint Louis,Rhode Island,W,94,91,33,61,.541,11,21,.524,17,21,.810,9,26,19,6,6,5,21,,29,56,.518,11,25,.440,22,32,.688,13,30,12,2,2,12,20
383,30,2024-03-05,,Saint Louis,Dayton,L,83,100,31,61,.508,6,23,.261,15,16,.938,3,16,13,8,3,6,13,,36,65,.554,18,33,.545,10,14,.714,12,37,20,6,2,11,15
384,31,2024-03-09,@,Saint Louis,St. Bonaventure,W,73,65,27,58,.466,9,25,.360,10,12,.833,12,41,14,6,1,12,17,,22,55,.400,8,25,.320,13,21,.619,5,23,8,8,7,9,13
385,32,2024-03-12,N,Saint Louis,Rhode Island,W,74,71,28,59,.475,6,22,.273,12,20,.600,8,34,20,7,3,9,19,,25,54,.463,6,19,.316,15,24,.625,7,31,12,4,3,11,17
386,33,2024-03-13,N,Saint Louis,Duquesne,L,73,83,21,45,.467,8,20,.400,23,30,.767,4,28,10,3,3,13,18,,31,61,.508,10,22,.455,11,20,.550,6,28,22,9,3,5,22
387,1,2023-11-06,,VCU,McNeese State,L,65,76,22,53,.415,11,36,.306,10,14,.714,9,33,17,3,9,14,17,,27,59,.458,8,17,.471,14,22,.636,8,31,11,9,1,5,18
388,2,2023-11-10,,VCU,Samford,W,75,65,25,51,.490,5,18,.278,20,25,.800,12,37,13,15,6,19,16,,23,66,.348,8,26,.308,11,14,.786,14,30,15,12,2,15,24
389,3,2023-11-15,,VCU,Radford,W,73,50,24,50,.480,6,20,.300,19,26,.731,7,32,13,5,3,10,17,,18,54,.333,4,18,.222,10,17,.588,9,29,5,7,2,17,19
390,4,2023-11-18,,VCU,Seattle,W,60,56,19,49,.388,5,22,.227,17,22,.773,9,35,11,7,3,12,14,,18,55,.327,6,24,.250,14,19,.737,9,31,9,8,0,9,21
391,5,2023-11-23,N,VCU,Iowa State,L,64,68,20,44,.455,10,23,.435,14,18,.778,3,20,11,3,5,16,22,,24,59,.407,2,13,.154,18,30,.600,13,31,11,7,1,7,14
392,6,2023-11-24,N,VCU,Boise State,L,61,65,21,53,.396,6,22,.273,13,15,.867,9,37,12,5,5,14,18,,21,51,.412,6,16,.375,17,21,.810,4,22,7,8,3,8,19
393,7,2023-11-26,N,VCU,Penn State,W,86,74,28,52,.538,8,15,.533,22,28,.786,6,31,11,6,6,13,24,,23,52,.442,5,17,.294,23,35,.657,6,27,8,8,4,10,19
394,8,2023-12-01,,VCU,Norfolk State,L,60,63,17,47,.362,8,28,.286,18,22,.818,10,33,12,0,6,15,14,,23,54,.426,2,16,.125,15,17,.882,5,24,9,9,2,6,19
395,9,2023-12-06,,VCU,Memphis,L (1 OT),80,85,29,69,.420,7,29,.241,15,21,.714,15,31,13,8,2,10,21,,27,57,.474,8,21,.381,23,29,.793,11,35,10,7,2,18,21
396,10,2023-12-10,,VCU,Alcorn State,W,86,58,29,60,.483,17,39,.436,11,13,.846,9,34,22,8,7,11,16,,19,55,.345,4,14,.286,16,19,.842,7,27,9,6,0,10,14
397,11,2023-12-16,,VCU,Temple,W,87,78,30,59,.508,9,24,.375,18,21,.857,8,33,18,8,2,12,14,,29,64,.453,12,34,.353,8,13,.615,12,31,16,8,1,12,17
398,12,2023-12-22,,VCU,Maryland-Eastern Shore,W,75,51,27,55,.491,7,21,.333,14,22,.636,9,39,16,9,5,8,11,,19,57,.333,5,20,.250,8,15,.533,8,28,12,7,2,9,19
399,13,2023-12-30,,VCU,Gardner-Webb,W,87,73,35,69,.507,8,24,.333,9,10,.900,11,36,20,6,7,12,15,,26,67,.388,6,23,.261,15,21,.714,9,26,14,7,0,8,12
400,14,2024-01-03,,VCU,St. Bonaventure,L,78,89,28,56,.500,8,21,.381,14,18,.778,5,28,15,3,7,11,18,,28,58,.483,12,22,.545,21,27,.778,9,33,11,5,3,7,17
401,15,2024-01-06,,VCU,George Washington,L,82,84,27,65,.415,11,24,.458,17,22,.773,12,31,13,5,3,8,19,,27,49,.551,9,16,.563,21,26,.808,2,25,10,5,6,10,15
402,16,2024-01-09,@,VCU,George Mason,W,54,50,18,51,.353,7,25,.280,11,15,.733,9,34,10,10,5,11,14,,20,54,.370,0,15,.000,10,13,.769,9,29,3,9,2,11,14
403,17,2024-01-13,@,VCU,La Salle,W,71,65,23,48,.479,6,13,.462,19,28,.679,8,36,17,5,6,15,16,,22,65,.338,6,23,.261,15,19,.789,11,32,9,9,1,9,19
404,18,2024-01-19,,VCU,Saint Louis,W,85,61,27,54,.500,11,23,.478,20,25,.800,5,32,15,5,7,8,16,,20,56,.357,4,20,.200,17,18,.944,5,26,9,4,3,11,20
405,19,2024-01-23,,VCU,Loyola (IL),W,74,67,23,52,.442,9,15,.600,19,23,.826,6,32,12,7,0,12,16,,25,60,.417,4,20,.200,13,17,.765,9,28,10,7,6,9,21
406,20,2024-01-27,@,VCU,Davidson,W,63,58,18,48,.375,10,26,.385,17,21,.810,4,24,12,9,2,6,17,,19,52,.365,4,19,.211,16,19,.842,12,37,9,3,4,10,19
407,,,,VCU,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
408,G,Date,,VCU,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
409,21,2024-01-30,@,VCU,St. Bonaventure,L,62,67,21,53,.396,11,29,.379,9,11,.818,3,27,11,3,2,11,18,,21,59,.356,5,22,.227,20,23,.870,14,39,8,6,4,9,13
410,22,2024-02-03,,VCU,Richmond,W,63,52,20,54,.370,5,18,.278,18,20,.900,9,42,15,3,4,11,16,,18,51,.353,3,18,.167,13,17,.765,3,24,12,6,2,9,19
411,23,2024-02-06,@,VCU,Fordham,W,75,60,26,51,.510,9,21,.429,14,16,.875,3,29,18,6,4,13,12,,23,60,.383,10,26,.385,4,7,.571,9,28,13,10,5,15,14
412,24,2024-02-09,,VCU,Dayton,W,49,47,20,53,.377,5,21,.238,4,8,.500,4,34,13,6,4,8,12,,17,47,.362,4,17,.235,9,18,.500,2,29,9,5,1,8,11
413,25,2024-02-16,@,VCU,Saint Louis,W,95,85,28,57,.491,12,26,.462,27,31,.871,12,35,13,5,4,14,21,,27,57,.474,8,23,.348,23,30,.767,7,22,14,10,3,10,23
414,26,2024-02-20,@,VCU,UMass,L,52,74,17,56,.304,8,25,.320,10,12,.833,10,31,11,7,3,13,11,,28,59,.475,8,25,.320,10,12,.833,9,39,18,11,2,10,13
415,27,2024-02-25,,VCU,St. Joseph's,W,73,69,24,55,.436,8,22,.364,17,19,.895,9,37,19,5,2,9,16,,22,56,.393,12,29,.414,13,19,.684,7,30,11,5,4,9,17
416,28,2024-02-28,,VCU,Rhode Island,W,88,67,30,62,.484,10,29,.345,18,21,.857,10,36,15,10,4,10,17,,22,53,.415,9,28,.321,14,18,.778,6,24,13,4,4,15,17
417,29,2024-03-02,@,VCU,Richmond,L,76,79,26,56,.464,10,24,.417,14,18,.778,4,27,13,7,3,9,17,,26,49,.531,9,22,.409,18,26,.692,3,30,9,6,4,10,12
418,30,2024-03-05,,VCU,Duquesne,L,59,69,21,49,.429,8,22,.364,9,14,.643,6,28,11,7,2,14,16,,24,57,.421,10,28,.357,11,12,.917,9,30,11,8,0,10,15
419,31,2024-03-08,@,VCU,Dayton,L (1 OT),86,91,32,71,.451,18,42,.429,4,6,.667,9,29,13,6,5,11,21,,30,56,.536,12,22,.545,19,25,.760,5,35,19,4,2,14,12
420,32,2024-03-13,N,VCU,Fordham,W,69,62,17,42,.405,8,21,.381,27,39,.692,10,31,10,8,3,13,19,,20,49,.408,9,25,.360,13,18,.722,8,27,4,7,2,12,24
421,33,2024-03-14,N,VCU,UMass,W,73,59,22,44,.500,6,17,.353,23,30,.767,9,30,16,8,3,12,19,,19,54,.352,7,24,.292,14,19,.737,10,25,12,3,2,9,23
422,34,2024-03-16,N,VCU,St. Joseph's,W,66,60,29,57,.509,4,20,.200,4,8,.500,5,28,8,10,5,8,12,,24,55,.436,8,27,.296,4,7,.571,8,31,19,7,1,13,13
